measure_number	beat	offset	duration	notes
21	1.0	80.0	1/3	('B1', 'B2', 'G3', 'G4')
21	4/3	241/3	1/3	('B1', 'B2', 'B3', 'G4')
21	5/3	242/3	1/3	('B1', 'B2', 'D4', 'G4')
21	2.0	81.0	1/3	('B1', 'B2', 'G3', 'G4')
21	7/3	244/3	1/3	('B1', 'B2', 'B3', 'G4')
21	8/3	245/3	1/3	('B1', 'B2', 'D4', 'G4')
21	3.0	82.0	1/3	('B#1', 'B#2', 'F#3', 'F#4')
21	10/3	247/3	1/3	('B#1', 'B#2', 'A3', 'F#4')
21	11/3	248/3	1/3	('B#1', 'B#2', 'D#4', 'F#4')
21	4.0	83.0	1/3	('B#1', 'B#2', 'F#3', 'F#4')
21	13/3	250/3	1/3	('B#1', 'B#2', 'A3', 'F#4')
21	14/3	251/3	1/3	('B#1', 'B#2', 'D#4', 'F#4')
22	1.0	84.0	1/3	('C#2', 'C#3', 'C#4')
22	4/3	253/3	1/3	('C#2', 'F#3', 'C#4')
22	5/3	254/3	1/3	('C#2', 'A3', 'C#4')
22	2.0	85.0	1/3	('C#2', 'C#3', 'C#4')
22	7/3	256/3	1/3	('C#2', 'F#3', 'C#4')
22	8/3	257/3	1/3	('C#2', 'A3', 'C#4')
22	3.0	86.0	1/3	('C#2', 'C#3', 'C#4')
22	10/3	259/3	1/3	('C#2', 'F#3', 'C#4')
22	11/3	260/3	1/3	('C#2', 'G#3', 'C#4')
22	4.0	87.0	1/3	('C#2', 'C#3', 'C#4')
22	13/3	262/3	1/3	('C#2', 'E#3', 'C#4')
22	14/3	263/3	1/3	('C#2', 'G#3', 'C#4')
23	1.0	88.0	1/3	('F#1', 'C#2', 'F#2', 'F#3')
23	4/3	265/3	1/3	('F#1', 'C#2', 'F#2', 'F#3', 'A3')
23	5/3	266/3	1/3	('F#1', 'C#2', 'F#2', 'F#3', 'C#4')
23	2.0	89.0	1/3	('F#1', 'C#2', 'F#2', 'A3')
23	7/3	268/3	1/3	('F#1', 'C#2', 'F#2', 'C#4')
23	8/3	269/3	1/3	('F#1', 'C#2', 'F#2', 'F#4')
23	3.0	90.0	1/3	('F#1', 'C#2', 'F#2', 'C#4')
23	10/3	271/3	1/3	('F#1', 'C#2', 'F#2', 'F#4')
23	11/3	272/3	1/3	('F#1', 'C#2', 'F#2', 'A4')
23	4.0	91.0	1/3	('F#1', 'C#2', 'F#2', 'C#4', 'C#5')
23	13/3	274/3	1/3	('F#1', 'C#2', 'F#2', 'F#4', 'C#5')
23	14/3	275/3	1/12	('F#1', 'C#2', 'F#2', 'A4', 'C#5')
23	4.75	91.75	0.25	('F#1', 'C#2', 'F#2', 'A4', 'C#5')
24	1.0	92.0	1/3	('E#2', 'C#3', 'E#3', 'C#4', 'C#5')
24	4/3	277/3	1/3	('E#2', 'C#3', 'E#3', 'G#4', 'C#5')
24	5/3	278/3	1/3	('E#2', 'C#3', 'E#3', 'B4', 'C#5')
24	2.0	93.0	1/3	('E#2', 'C#3', 'E#3', 'C#4', 'C#5')
24	7/3	280/3	1/3	('E#2', 'C#3', 'E#3', 'G#4', 'C#5')
24	8/3	281/3	1/3	('E#2', 'C#3', 'E#3', 'B4', 'C#5')
24	3.0	94.0	1/3	('E#2', 'C#3', 'E#3', 'C#4', 'C#5')
24	10/3	283/3	1/3	('E#2', 'C#3', 'E#3', 'G#4', 'C#5')
24	11/3	284/3	1/3	('E#2', 'C#3', 'E#3', 'B4', 'C#5')
24	4.0	95.0	1/3	('E#2', 'C#3', 'E#3', 'C#4', 'C#5')
24	13/3	286/3	1/3	('E#2', 'C#3', 'E#3', 'G#4', 'C#5')
24	14/3	287/3	1/12	('E#2', 'C#3', 'E#3', 'B4', 'C#5')
